,segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext,distance_to_kizilay(km)
75,76,27046661,2355905375,426.959993827092,trunk,76,"LINESTRING(32.7451815 39.9071262,32.7401815 39.9069444)",8.956134482193063
76,77,2355905375,27046662,185.633393377813,trunk,68,"LINESTRING(32.7401815 39.9069444,32.7380096 39.9068379)",9.383094476020155
77,78,27046662,61770431,241.72278768821099,trunk,80,"LINESTRING(32.7380096 39.9068379,32.7351793 39.9067282)",9.568727869397968
78,79,61770431,2272351639,234.639503669427,trunk,80,"LINESTRING(32.7351793 39.9067282,32.7324328 39.9066094)",9.810450657086179
79,80,2272351639,27046664,487.6368105353599,trunk,81,"LINESTRING(32.7324328 39.9066094,32.7267222 39.906403)",10.045090160755606
80,81,27046664,310043470,910.989993406113,trunk,76,"LINESTRING(32.7267222 39.906403,32.7160594 39.9059359)",10.532726971290966
81,82,310043470,27046665,132.619089184881,trunk,60,"LINESTRING(32.7160594 39.9059359,32.7145073 39.9058659)",11.44371696469708
82,83,27046665,288241918,204.953658704684,trunk,83,"LINESTRING(32.7145073 39.9058659,32.7121066 39.9057888)",11.576336053881962
83,84,288241918,226169219,120.909302856506,trunk,89,"LINESTRING(32.7121066 39.9057888,32.7106913 39.9057283)",11.781289712586645
84,85,226169219,29474288,264.191482238462,trunk,86,"LINESTRING(32.7106913 39.9057283,32.7075989 39.905595)",11.90219901544315
85,86,29474288,123588065,257.602738002316,trunk,62,"LINESTRING(32.7075989 39.905595,32.7045814 39.9055002)",12.166390497681613
86,87,123588065,123588128,128.444350985663,trunk,63,"LINESTRING(32.7045814 39.9055002,32.7030779 39.905436)",12.423993235683929
87,88,123588128,293950225,325.229938549377,trunk,53,"LINESTRING(32.7030779 39.905436,32.6992717 39.9052633)",12.552437586669592
88,89,293950225,123588403,21.9864765352949,trunk,101,"LINESTRING(32.6992717 39.9052633,32.6990144 39.9052515)",12.87766752521897
