start_node,finish_node,lengthm,speed,st_astext,road_type,last_updated
29474473,29474472,92.6966732204138,83,"LINESTRING(32.505093 39.7793292,32.5042159 39.7788387)",trunk,2019-05-14 00:12:04.733+00
112366294,112366318,71.8309980130552,97,"LINESTRING(32.2951232 39.7132821,32.2958966 39.7135338)",trunk,2019-05-14 00:12:18.102+00
1914126821,27047875,504.414480385109,73,"LINESTRING(32.1868117 39.6156999,32.1843112 39.6115929)",trunk,2019-05-13 23:22:36.227+00
29474493,29474494,102.823873682373,83,"LINESTRING(32.3205993 39.7184479,32.3194381 39.7182085)",trunk,2019-05-14 00:19:29.229+00
29474486,1914127352,888.901263818208,78,"LINESTRING(32.4006139 39.7399003,32.3911151 39.7366519)",trunk,2019-05-13 22:41:58.85+00
112361877,112362106,780.959310615341,78,"LINESTRING(32.1793801 39.6032689,32.1834097 39.6095688)",trunk,2019-05-14 00:06:33.764+00
112363264,1914126886,150.289290304128,82,"LINESTRING(32.2116998 39.6482455,32.2126678 39.649373)",trunk,2019-05-14 00:35:54.529+00
29474510,29474511,1221.0031000283,67,"LINESTRING(32.2088317 39.6452699,32.2009596 39.6361141)",trunk,2019-05-13 23:13:43.383+00
2204797074,29474490,77.1829454886084,78,"LINESTRING(32.3455086 39.7229987,32.344631 39.7228369)",trunk,2019-05-13 23:13:45.432+00
1037719978,1037722535,123.189880084095,63,"LINESTRING(32.161523 39.5836796,32.1603029 39.5830938)",trunk,2019-05-13 23:14:46.771+00
226169218,4790795163,29.381444046842,80,"LINESTRING(32.7075881 39.905418,32.707932 39.905433)",trunk,2019-05-13 23:32:32.511+00
27047855,2381256507,68.81190666914,91,"LINESTRING(32.6045252 39.8537738,32.6038588 39.8534256)",trunk,2019-05-14 00:00:09.445+00
2381256507,2381256500,126.841769588273,91,"LINESTRING(32.6038588 39.8534256,32.6027114 39.8527008)",trunk,2019-05-14 00:12:09.712+00
2389806702,309701988,54.4667024375858,81,"LINESTRING(32.6947164 39.9041682,32.6952794 39.9043993)",trunk,2019-05-13 23:28:13.795+00
29474516,1421882183,175.163956564728,96,"LINESTRING(32.1665607 39.5862366,32.1649646 39.5852525)",trunk,2019-05-13 23:17:18.667+00
1914127402,3723941725,290.046012680758,88,"LINESTRING(32.4049261 39.7411194,32.4080117 39.7422032)",trunk,2019-05-14 00:00:49.222+00
2360960899,2389806692,329.040535009791,88,"LINESTRING(32.6786805 39.8946861,32.6756453 39.8928603)",trunk,2019-05-13 23:52:09.548+00
393950525,2840173808,48.7049144968114,60,"LINESTRING(32.7857416 39.9087413,32.7851719 39.9087115)",trunk,2019-05-13 23:07:53.553+00
112364507,112364551,85.5611311640297,76,"LINESTRING(32.2386664 39.6794705,32.2393082 39.6800605)",trunk,2019-05-14 00:22:24.716+00
404730047,2354679469,35.0175836072338,78,"LINESTRING(32.8216907 39.9144769,32.8212955 39.9143915)",primary,2019-05-14 00:02:03.107+00
112102303,309701982,46.7584422637127,57,"LINESTRING(32.665669 39.8861838,32.6660767 39.8864648)",trunk,2019-05-13 23:05:20.228+00
112367690,112367733,141.781685795247,88,"LINESTRING(32.3553383 39.724637,32.3569214 39.7250155)",trunk,2019-05-14 00:02:30.876+00
4218662729,4420623583,99.3623431540991,74,"LINESTRING(32.798428 39.909347,32.797271 39.9092428)",trunk,2019-05-14 00:28:24.337+00
293950236,288253805,38.7959264138848,83,"LINESTRING(32.6957533 39.9047067,32.6953367 39.9045667)",trunk,2019-05-13 23:24:43.676+00
1037722535,2186060849,339.199058035152,76,"LINESTRING(32.1603029 39.5830938,32.1569002 39.5815356)",trunk,2019-05-13 23:15:51.853+00
662560924,662560925,110.939334527374,88,"LINESTRING(32.6024276 39.8525029,32.6014603 39.8518366)",trunk,2019-05-14 00:00:44.095+00
4755276052,29451062,186.040003219618,55,"LINESTRING(32.8219816 39.9144084,32.8240575 39.9149223)",primary,2019-05-13 23:16:29.309+00
29431517,818678129,150.203697121777,43,"LINESTRING(32.8109103 39.9118018,32.8125962 39.9121923)",trunk,2019-05-14 00:44:56.106+00
112370644,112370662,73.4902351798691,86,"LINESTRING(32.4825181 39.7661487,32.4832215 39.7665288)",trunk,2019-05-13 23:56:13.667+00
2189698812,60535532,51.1894003982676,60,"LINESTRING(32.7804126 39.9085054,32.7798132 39.9084824)",trunk,2019-05-13 23:17:41.403+00
2341574933,114345962,116.324286264007,66,"LINESTRING(32.7829213 39.9086126,32.78156 39.9085493)",trunk,2019-05-13 23:17:42.356+00
29474302,2360907296,614.071849780936,67,"LINESTRING(32.7756086 39.9081659,32.7827976 39.9084629)",trunk,2019-05-13 23:08:06.435+00
29431549,100035225,105.162753982697,62,"LINESTRING(32.8013553 39.9097675,32.80015 39.9095683)",trunk,2019-05-13 22:55:18.32+00
4633592239,4633586422,54.1109591197237,43,"LINESTRING(32.80955 39.9114785,32.8101565 39.9116213)",trunk,2019-05-14 00:27:08.478+00
29474470,27047859,840.309297874981,87,"LINESTRING(32.5183751 39.7867483,32.5104045 39.7823219)",trunk,2019-05-14 00:41:25.929+00
150546718,2189830516,39.9417316021101,42,"LINESTRING(32.8177283 39.9133702,32.818176 39.9134756)",primary,2019-05-14 00:24:23.582+00
112369861,2971107461,259.343996419861,98,"LINESTRING(32.4528599 39.7574171,32.4556377 39.758355)",trunk,2019-05-13 23:29:16.046+00
493138684,205005040,142.522475998408,92,"LINESTRING(32.6297139 39.8633162,32.6282113 39.8627571)",trunk,2019-05-14 00:16:03.865+00
2204798520,112374346,666.331531138926,86,"LINESTRING(32.5873453 39.8378011,32.5920531 39.8425805)",trunk,2019-05-14 00:21:07.454+00
288241918,226169219,120.909302856506,89,"LINESTRING(32.7121066 39.9057888,32.7106913 39.9057283)",trunk,2019-05-13 23:37:24.118+00
226478511,29474310,213.095916440723,80,"LINESTRING(32.7351079 39.9065111,32.7376001 39.9066448)",trunk,2019-05-13 23:50:56.043+00
1914093302,29474470,62.1632152362668,74,"LINESTRING(32.5189505 39.7870904,32.5183751 39.7867483)",trunk,2019-05-14 00:39:25.373+00
