segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext
1108,112368559,1914127402,247.812966233787,trunk,75,"LINESTRING(32.4022731 39.7402221,32.4049261 39.7411194)"
1109,1914127402,3723941725,290.046012680758,trunk,88,"LINESTRING(32.4049261 39.7411194,32.4080117 39.7422032)"
1110,3723941725,3723941726,33.2804703741042,trunk,87,"LINESTRING(32.4080117 39.7422032,32.408368 39.7423237)"
1111,3723941726,112368788,197.676512116094,trunk,87,"LINESTRING(32.408368 39.7423237,32.4105032 39.7430055)"
1112,112368788,112368890,227.991327467199,trunk,81,"LINESTRING(32.4105032 39.7430055,32.4129249 39.7438638)"
1113,112368890,112368919,187.564768141067,trunk,87,"LINESTRING(32.4129249 39.7438638,32.4149297 39.7445487)"
1114,112368919,112369129,895.415984332499,trunk,79,"LINESTRING(32.4149297 39.7445487,32.4245081 39.7478055)"
1115,112369129,112369200,305.855778182167,trunk,96,"LINESTRING(32.4245081 39.7478055,32.4277814 39.7489155)"
1116,112369200,112369370,604.502358352965,trunk,85,"LINESTRING(32.4277814 39.7489155,32.4342532 39.7511055)"
1117,112369370,112369506,590.991914003848,trunk,78,"LINESTRING(32.4342532 39.7511055,32.4405764 39.7532538)"
1118,112369506,2204797568,462.721129753195,trunk,88,"LINESTRING(32.4405764 39.7532538,32.4455305 39.7549303)"
1119,2204797568,112369745,242.934124738486,trunk,89,"LINESTRING(32.4455305 39.7549303,32.4481315 39.7558105)"
1120,112369745,112369861,441.917548266249,trunk,96,"LINESTRING(32.4481315 39.7558105,32.4528599 39.7574171)"
1121,112369861,2971107461,259.343996419861,trunk,98,"LINESTRING(32.4528599 39.7574171,32.4556377 39.758355)"
1122,2971107461,112370053,322.291405074403,trunk,92,"LINESTRING(32.4556377 39.758355,32.4590898 39.7595205)"
1123,112370053,112370090,137.397531159645,trunk,93,"LINESTRING(32.4590898 39.7595205,32.4605664 39.7600087)"
1124,112370090,112370104,69.8189137715759,trunk,97,"LINESTRING(32.4605664 39.7600087,32.4613298 39.760232)"
1125,112370104,112370116,70.6478383245519,trunk,88,"LINESTRING(32.4613298 39.760232,32.4621098 39.7604421)"
1126,112370116,112370188,287.271287913205,trunk,98,"LINESTRING(32.4621098 39.7604421,32.4653082 39.7612354)"
1127,112370188,112370483,998.631085064793,trunk,87,"LINESTRING(32.4653082 39.7612354,32.4764631 39.7639055)"
1128,112370483,112370515,71.7994803194638,trunk,97,"LINESTRING(32.4764631 39.7639055,32.4772597 39.7641104)"
1129,112370515,112370528,71.4934179248786,trunk,88,"LINESTRING(32.4772597 39.7641104,32.4780432 39.7643355)"
1130,112370528,1516644699,78.0903592975155,trunk,95,"LINESTRING(32.4780432 39.7643355,32.4788801 39.7646172)"
1131,1516644699,112370560,65.1431174995654,trunk,86,"LINESTRING(32.4788801 39.7646172,32.4795783 39.7648521)"
1132,112370560,112370575,72.0026693857125,trunk,95,"LINESTRING(32.4795783 39.7648521,32.4803315 39.7651421)"
1133,112370575,112370592,72.3005173320705,trunk,99,"LINESTRING(32.4803315 39.7651421,32.4810715 39.7654571)"
1134,112370592,112370629,72.7021567352194,trunk,100,"LINESTRING(32.4810715 39.7654571,32.4818032 39.7657905)"
1135,112370629,112370644,72.9389570356631,trunk,100,"LINESTRING(32.4818032 39.7657905,32.4825181 39.7661487)"
1136,112370644,112370662,73.4902351798691,trunk,86,"LINESTRING(32.4825181 39.7661487,32.4832215 39.7665288)"
1137,112370662,112370966,1093.31908053951,trunk,87,"LINESTRING(32.4832215 39.7665288,32.4935097 39.7723721)"
1138,112370966,112371125,624.750122652773,trunk,73,"LINESTRING(32.4935097 39.7723721,32.4993849 39.7757154)"
1139,112371125,112371284,656.797925919413,trunk,78,"LINESTRING(32.4993849 39.7757154,32.5055615 39.7792305)"
1140,112371284,112371357,384.229699554759,trunk,89,"LINESTRING(32.5055615 39.7792305,32.5091732 39.7812887)"
1141,112371357,112371557,631.584409660884,trunk,97,"LINESTRING(32.5091732 39.7812887,32.5151164 39.7846655)"
1142,112371557,1914093310,570.429798806782,trunk,92,"LINESTRING(32.5151164 39.7846655,32.5204849 39.7877148)"
1143,1914093310,112371723,119.514526811492,trunk,107,"LINESTRING(32.5204849 39.7877148,32.5216097 39.7883537)"
1144,112371723,1914093441,355.020425038584,trunk,107,"LINESTRING(32.5216097 39.7883537,32.5249183 39.7902851)"
1145,1914093441,112371836,186.525055872963,trunk,101,"LINESTRING(32.5249183 39.7902851,32.5266284 39.7913278)"
1146,112371836,112371852,94.5704678461957,trunk,82,"LINESTRING(32.5266284 39.7913278,32.5274652 39.7918845)"
1147,112371852,112371998,571.757105997411,trunk,82,"LINESTRING(32.5274652 39.7918845,32.5325148 39.7952588)"
1148,112371998,112372136,494.49209480917,trunk,94,"LINESTRING(32.5325148 39.7952588,32.5368614 39.7981954)"
1149,112372136,2381256505,86.7279663199861,trunk,77,"LINESTRING(32.5368614 39.7981954,32.5376111 39.7987213)"
1150,2381256505,112372181,116.126625365965,trunk,81,"LINESTRING(32.5376111 39.7987213,32.5386149 39.7994255)"
1151,112372181,112372226,201.672154698978,trunk,85,"LINESTRING(32.5386149 39.7994255,32.5403964 39.8006155)"
1152,112372226,2381256502,119.015598989428,trunk,88,"LINESTRING(32.5403964 39.8006155,32.5414296 39.8013335)"
1153,2381256502,112372358,455.271246945473,trunk,90,"LINESTRING(32.5414296 39.8013335,32.5453198 39.804132)"
1154,112372358,3799593337,330.279449636058,trunk,89,"LINESTRING(32.5453198 39.804132,32.5481799 39.8061307)"
1155,3799593337,112372550,248.547014954929,trunk,72,"LINESTRING(32.5481799 39.8061307,32.5504147 39.8075621)"
1156,112372550,112372638,259.745315840181,trunk,86,"LINESTRING(32.5504147 39.8075621,32.5526465 39.8091487)"
1157,112372638,112372724,236.852094572378,trunk,91,"LINESTRING(32.5526465 39.8091487,32.5547015 39.8105788)"
1158,112372724,112372888,591.950974446765,trunk,91,"LINESTRING(32.5547015 39.8105788,32.5598698 39.8141255)"
1159,112372888,112372936,174.314850450861,trunk,87,"LINESTRING(32.5598698 39.8141255,32.5613715 39.8151871)"
