segment_id,start_node,end_node,given_length,road_type,speed,st_astext,startLat,startLon,endLat,endLon,dir,calc_length,distance_from_start
83,27046665,288241918,204.953658704684,trunk,83,"LINESTRING(32.7145073 39.9058659,32.7121066 39.9057888)",39.9058659,32.7145073,39.9057888,32.7121066,1,204.966018316504,11577.0341581307
84,288241918,226169219,120.909302856506,trunk,89,"LINESTRING(32.7121066 39.9057888,32.7106913 39.9057283)",39.9057888,32.7121066,39.9057283,32.7106913,1,120.916594222068,11782.0001764472
85,226169219,29474288,264.191482238462,trunk,86,"LINESTRING(32.7106913 39.9057283,32.7075989 39.905595)",39.9057283,32.7106913,39.905595,32.7075989,1,264.207414152961,11902.9167706693
86,29474288,123588065,257.602738002316,trunk,62,"LINESTRING(32.7075989 39.905595,32.7045814 39.9055002)",39.905595,32.7075989,39.9055002,32.7045814,1,257.618272586406,12167.1241848222
87,123588065,123588128,128.444350985663,trunk,63,"LINESTRING(32.7045814 39.9055002,32.7030779 39.905436)",39.9055002,32.7045814,39.905436,32.7030779,1,128.452096747943,12424.7424574086
88,123588128,293950225,325.229938549377,trunk,53,"LINESTRING(32.7030779 39.905436,32.6992717 39.9052633)",39.905436,32.7030779,39.9052633,32.6992717,1,325.249551352673,12553.1945541566
89,293950225,123588403,21.9864765352949,trunk,101,"LINESTRING(32.6992717 39.9052633,32.6990144 39.9052515)",39.9052633,32.6992717,39.9052515,32.6990144,1,21.987802417043,12878.4441055092
90,123588403,293950229,83.4047689084395,trunk,77,"LINESTRING(32.6990144 39.9052515,32.6980417 39.905175)",39.9052515,32.6990144,39.905175,32.6980417,1,83.4097985847781,12900.4319079263
91,293950229,123588484,40.3042033756861,trunk,73,"LINESTRING(32.6980417 39.905175,32.6975769 39.9051098)",39.905175,32.6980417,39.9051098,32.6975769,1,40.3066338973544,12983.8417065111
92,123588484,293950233,60.8779219565646,trunk,82,"LINESTRING(32.6975769 39.9051098,32.69688 39.9049917)",39.9051098,32.6975769,39.9049917,32.69688,1,60.8815931644298,13024.1483404084
93,293950233,293950236,101.196446913739,trunk,83,"LINESTRING(32.69688 39.9049917,32.6957533 39.9047067)",39.9049917,32.69688,39.9047067,32.6957533,1,101.202549506927,13085.0299335728
94,293950236,288253805,38.7959264138848,trunk,83,"LINESTRING(32.6957533 39.9047067,32.6953367 39.9045667)",39.9047067,32.6957533,39.9045667,32.6953367,1,38.7982659797834,13186.2324830798
95,288253805,2389806720,16.5850925932491,trunk,101,"LINESTRING(32.6953367 39.9045667,32.6951726 39.9044867)",39.9045667,32.6953367,39.9044867,32.6951726,1,16.5860927476633,13225.0307490595
96,2389806720,2389806698,24.946164408385,trunk,93,"LINESTRING(32.6951726 39.9044867,32.6949134 39.9043828)",39.9044867,32.6951726,39.9043828,32.6949134,1,24.9476687723981,13241.6168418072
97,2389806698,2389806673,53.8420753296632,trunk,85,"LINESTRING(32.6949134 39.9043828,32.69436 39.9041499)",39.9043828,32.6949134,39.9041499,32.69436,1,53.8453222448679,13266.5645105796
98,2389806673,2389806665,55.5932668760299,trunk,93,"LINESTRING(32.69436 39.9041499,32.6938089 39.903883)",39.9041499,32.69436,39.903883,32.6938089,1,55.5966193958277,13320.4098328245
99,2389806665,2389806696,53.0629183874459,trunk,89,"LINESTRING(32.6938089 39.903883,32.6933046 39.9036036)",39.903883,32.6938089,39.9036036,32.6933046,1,53.0661183160419,13376.0064522203
100,2389806696,2389806676,80.1892113036674,trunk,91,"LINESTRING(32.6933046 39.9036036,32.6925897 39.9031353)",39.9036036,32.6933046,39.9031353,32.6925897,1,80.1940470676649,13429.0725705363
